"id","code","description"
"1","0100","Dairy and Egg Products"
"2","0200","Spices and Herbs"
"3","0300","Baby Foods"
"4","0400","Fats and Oils"
"5","0500","Poultry Products"
"9","0900","Fruits and Fruit Juices"
"10","1000","Pork Products"
"11","1100","Vegetables and Vegetable Products"
"12","1200","Nut and Seed Products"
"13","1300","Beef Products"
"14","1400","Beverages"
"15","1500","Finfish and Shellfish Products"
"16","1600","Legumes and Legume Products"
"17","1700","Lamb, Veal, and Game Products"
"20","2000","Cereal Grains and Pasta"
"21","2100","Fast Foods"
"22","2200","Meals, Entrees, and Side Dishes"
"24","3500","American Indian/Alaska Native Foods"
